job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0560 Budget Analysis,Entry,Foundational for Leading Self,Customer Service,Self Competencies,"Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Develops guides and user manuals for customers ? Ensures products and services comply with customer requirements ? Streamlines procedures based on customer feedback ? Solicits customer feedback and takes steps to prevent similar problems or issues from occurring with other customers,1762 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1763 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1764 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Customer Service,Self Competencies,"Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Designs and implements new or improved practices and strategies to improve customer service ? Develops customer satisfaction surveys, analyzes results, and makes necessary improvements ? Addresses customer service deficiencies by involving employees to identify solutions",1930 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1931 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1932 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Customer Service,Self Competencies,"Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Anticipates growing customer needs and expectations to continuously improve product development and service delivery ? Creates work group consisting of stakeholders and neutral parties to develop solutions to customer service barriers ? Ensures products and services meet customer needs,1933 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1934 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1935 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Customer Service,Self Competencies,"Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services ",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Develops innovative customer service initiative which significantly improves quality and enhances customer satisfaction ? Implements organization-wide customer service initiative to raise employee skill levels to improve customer service ? Develops project plans, goals, and objectives to meet the needs of customers within and beyond the organization",2038 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2039 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2040 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Flexibility,Self Competencies,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Meets with team to adjust and coordinate schedules to accommodate all team members ? Adjusts staff assignments based on feedback and work load priorities,1807 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1808 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1809 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Flexibility,Self Competencies,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Uses staff feedback to streamline processes in order to meet deadlines ? Adjusts project plan based on input from staff and stakeholders,1960 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1961 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1962 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Flexibility,Self Competencies,"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Adjusts organizational priorities quickly as situations change ? Shifts agency goals and initiatives to align with administration and Congressional priorities,2062 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2063 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2064 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Establishes open and honest communication with employees ? Addresses concerns with employee behavior in a confidential and respectful manner,1837 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1838 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1839 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Provides staff with accurate information about the vision of the agency and outlines changes in an upfront manner ? Remains fair and objective when determining skill set needed for projects to select effective team members,1840 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1841 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1842 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Communicates honestly with employees regarding potential changes affecting the organization to ensure staff are treated fairly ? Investigates issues and takes corrective action, as appropriate",1843 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1844 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1845 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Instills a climate of trust by admitting own mistakes and taking responsibility for one's actions ? Discusses potential ethical problems and wrong- doing with employees and responds appropriately,1975 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1976 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1977 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Integrity- Honesty,Self Competencies,"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Promotes a climate of openness and honesty and does not penalize responsible dissent ? Does not acquiesce to inappropriate personal requests for favors, political pressure, or promise of gain ? Displays fortitude to support ethical actions that may negatively impact self or stakeholders",2077 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2078 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2079 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Interacts with co-workers in a tactful manner ? Responds to employee inquiries,1846 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1847 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1848 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Shows employees empathy and respect ? Welcomes new employees into organization by explaining mission and agency goals ? Develops and maintains effective working relationships,1849 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1850 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1851 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Makes self accessible to employees at all levels ? Corrects employee mistakes in a courteous manner ? Demonstrates courtesy, empathy and respect",1852 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1853 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1854 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Treats individuals from all levels of the agency with courtesy and sensitivity ? Meets with staff and listens to their perspective on organizational policies and procedures ? Displays professionalism, tact, and empathy when working with groups",1978 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1979 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1980 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Interpersonal Skills,Self Competencies,"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Treats individuals from all levels of the agency with courtesy and sensitivity ? Meets with staff and listens to their perspective on organizational policies and procedures ? Displays professionalism, tact, and empathy when working with groups",2080 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2081 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2082 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Communicates agency goals and initiatives to staff in a clear and concise manner ? Communicates information regarding organizational changes to staff ? Updates supervisors on project status ? Actively listens to staff ideas and concerns regarding work-related issues,1861 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1862 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1863 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Communicates effectively with staff by conducting regular meetings to discuss initiatives and current events ? Explains and clarifies policy to affected parties ? Provides status updates to management team during quarterly division meeting ? Presents complex information to stakeholders verbally,1984 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1985 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1986 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes ? Communicates with committee regarding necessary actions and suggested approaches to accomplish committee objectives,"? Communicates with committee regarding necessary actions and suggested approaches to accomplish committee objectives ? Conveys information clearly and concisely to ensure staff or team members remain focused on agenda items ? Explains benefits to stakeholders to gain acceptance of programmatic change ? Presents information, analyses, and recommendations to officials and stakeholders ? Presents, promotes and clarifies ideas and issues to others",1987 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1988 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1989 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Oral Communications,Self Competencies,"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Conducts presentations and briefings for high-level agency officials ? Presents, explains, and defends agency positions and proposals to staff and stakeholders ? Persuades others by making clear and convincing oral presentations",2089 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2090 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2091 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Communicates agency goals and initiatives to staff in a clear and concise manner ? Communicates information regarding organizational changes to staff ? Updates supervisors on project status ? Actively listens to staff ideas and concerns regarding work-related issues,1873 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1874 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1875 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Communicates effectively with staff by conducting regular meetings to discuss initiatives and current events ? Explains and clarifies policy to affected parties ? Provides status updates to management team during quarterly division meeting ? Presents complex information to stakeholders verbally,1876 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1877 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1878 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Communicates with committee regarding necessary actions and suggested approaches to accomplish committee objectives ? Conveys information clearly and concisely to ensure staff or team members remain focused on agenda items ? Explains benefits to stakeholders to gain acceptance of programmatic change ? Presents information, analyses, and recommendations to officials and stakeholders ? Presents, promotes and clarifies ideas and issues to others",1993 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1994 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1995 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Problem Solving,Self Competencies,"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Improves organizational efficiency by developing, planning, and implementing a multi-tier solution to complex or unprecedented problems ? Develops and implements a remediation plan restoring stakeholder confidence in a critical agency program",2101 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2102 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2103 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Responds promptly and accurately to public inquiries about agency policies ? Suggests gaining feedback from public regarding new policy,1879 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1880 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1881 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Reviews unit's policies and procedures on a regular basis to ensure they are consistent with public needs ? Determines community needs by surveying citizens,1882 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1883 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1884 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Approves funding documentation in accordance with procedures to ensure public resources are utilized appropriately ? Improves processes used to monitor contractors and vendors for supplies, services, and-or equipment to ensure government funds are expended appropriately ? Encourages a commitment to public service",1996 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1997 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1998 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Public Service Motivation,Self Competencies,Shows a commitment to serve the public; ensures that actions meet public needs; aligns organizational objectives and practices with public interests,Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",? Designs and develops programs to address critical community requirements ? Elicits employees' commitment to serve the public good in responding to a disaster ? Ensures that projects and programs meet public needs and interests,2104 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2105 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2106 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Resilience,Self Competencies,"Deals effectively with pressure; remains optimistic and persistent, even under adversity; recovers quickly from setbacks ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Reduces project deliverables following funding cut ? Continues presentation to customer despite technical difficulties with audio-visual system,1885 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1886 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1887 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Resilience,Self Competencies,"Deals effectively with pressure; remains optimistic and persistent, even under adversity; recovers quickly from setbacks ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Meets with employees resistant to organizational change to address concerns ? Maintains composure and direction in high-pressure situations ? Accepts negative feedback in a constructive manner and adjusts behavior accordingly,1999 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2000 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2001 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Resilience,Self Competencies,"Deals effectively with pressure; remains optimistic and persistent, even under adversity; recovers quickly from setbacks ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Responds to setbacks by developing alternative approaches to determine the best course of action ? Maintains unit's effectiveness, quality and morale during organizational change ? Cultivates internal and external stakeholders to develop strategies for obtaining funding from alternate sources following budget cuts",2107 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2108 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2109 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Foundational for Leading Self,Written Communications,Self Competencies,"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a succinct and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,"? Writes basic communications (e.g., an email requesting straightforward information, proofreading before sending to others ? Uses appropriate grammar, punctuation, and spelling ? With guidance, applies the Department’s style and format guidelines to written products",1891 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1892 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1893 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Foundational for Leading Self,Written Communications,Self Competencies,"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a succinct and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Drafts concise, straightforward summaries of information (e.g., portions of plans-reports ? Prepares routine written communications that are accurate, clear, concise and well-organized ? Answers routine or basic questions to internal and external customers appropriately (e.g., tone, detail and when responding in writing)",2008 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2009 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2010 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Foundational for Leading Self,Written Communications,Self Competencies,"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a succinct and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Writes complex documents, using clear terminology and a concise format as appropriate for decision makers ? Tailors written communications to address the most critical issues in a compelling and diplomatic manner ? Writes clear, concise issue papers or policy documents on complex topics, such as establishing Department-wide guidance or guidelines",2113 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2114 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2115 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Entry,Leading Teams and Projects,Decision Making,Project Competencies,"Makes sound, well-informed, and objective decisions; perceives the impact and implications of decisions; commits to action, even in uncertain situations, to accomplish organizational goals; causes change ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Develops meeting agenda and determines topics for group decision making ? Determines the appropriate individuals needed for a decision making process,73 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 74 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 75 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Leading Teams and Projects,Decision Making,Project Competencies,"Makes sound, well-informed, and objective decisions; perceives the impact and implications of decisions; commits to action, even in uncertain situations, to accomplish organizational goals; causes change ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Makes sound and timely decisions for a project, team or work unit ? Seeks out best practices to make organizational decisions",277 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 278 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 279 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Mid,Leading Teams and Projects,Decision Making,Project Competencies,"Makes sound, well-informed, and objective decisions; perceives the impact and implications of decisions; commits to action, even in uncertain situations, to accomplish organizational goals; causes change ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Decides to redesign current performance appraisal system to better meet organizational needs ? Makes the decision to solve controversial workplace issue by establishing an employee task force,280 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 281 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 282 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Leading Teams and Projects,Decision Making,Project Competencies,"Makes sound, well-informed, and objective decisions; perceives the impact and implications of decisions; commits to action, even in uncertain situations, to accomplish organizational goals; causes change ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Changes course of action despite public support when new information indicates previous strategy would not succeed ? Makes timely decisions using available information regarding severe operating budget reductions including possible reductions in force (RIFs,448 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 449 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 450 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0501 Financial Administration and Program Support,Senior,Leading Teams and Projects,Decision Making,Project Competencies,"Makes sound, well-informed, and objective decisions; perceives the impact and implications of decisions; commits to action, even in uncertain situations, to accomplish organizational goals; causes change ",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Uses limited information to solve a variety of complex problems during a crisis situation ? Solves highly-complex technical, administrative and policy issues involved in the implementation of new systems and programs by making timely decisions",451 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 452 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 453 Third Course Name %%% Third Course Institution ||| www.cfo.gov
